,CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,BQ01_01,BQ01_02,BQ01_03,BQ01_04,BQ01_05,BQ02_01,BQ02_02,BQ02_03,BQ02_04,BQ02_05,BQ03_01,BQ03_02,BQ03_03,BQ03_04,BQ03_05,EQ01_01,EQ01_02,EQ01_03,EQ01_04,EQ01_05,EQ02_01,EQ02_02,EQ02_03,EQ02_04,EQ02_05,EQ03_01,EQ03_02,EQ03_03,EQ03_04,EQ03_05,F101_01,F101_02,F101_03,F101_04,F101_05,F102_01,F102_02,F102_03,G101_CP,G101,G103_CP,G103x01,G103x02,G103x03,GQ01_01,GQ01_02,GQ01_03,GQ01_04,GQ02_01,GQ02_02,GQ02_03,GQ02_04,GQ03_01,GQ03_02,GQ03_03,GQ03_04,P101,P102,P103,P104_01,P104_02,P104_03,P104_04,P109_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
79,103,,,base,interview,2024-11-21 17:04:31,4,5,4,4,5,4,4,4,4,5,2,2,4,3,5,4,3,5,5,5,3,4,4,5,5,4,3,3,5,3,3,1,4,4,4,no,no,"The charts are too long , I do not know if a patient want to read this much. it is good for a doctor or nurse. ",39,2,78,2,3,1,3,5,5,5,3,5,5,5,5,5,3,2,1,2,6,4,1,3,1,673e16837e848ecc1ee8913f,18,46,17,203,82,111,106,583,,2024-11-21 17:14:15,finished,1,0,7,7,0,0,1.09
80,104,,,base,interview,2024-11-21 18:01:44,1,2,2,3,5,4,4,4,3,5,2,2,2,3,5,2,2,2,5,2,4,4,4,5,4,2,2,2,5,2,5,1,3,2,2,No,No,No,39,1,79,1,3,2,2,2,2,2,4,4,4,3,2,2,2,2,2,3,3,5,1,5,5,5eac3c1950fecd25d2d6d5ed,4,33,4,130,353,22,28,574,,2024-11-21 18:11:18,finished,1,0,7,7,0,0,2.09
82,110,,,base,interview,2024-11-27 14:14:56,3,4,4,4,5,3,3,3,3,5,4,4,4,4,5,4,4,4,5,4,3,4,3,5,4,4,4,4,5,4,4,4,4,4,3,No,No,No,42,1,85,2,3,1,4,4,4,4,3,3,4,4,4,4,4,4,1,2,4,5,4,3,3,5ad06853b438910001ac8bee,5,29,47,186,88,49,43,447,,2024-11-27 14:22:25,finished,1,0,7,7,0,0,1.53
83,111,,,base,interview,2024-11-27 14:21:27,3,5,4,3,5,3,4,3,3,5,3,4,4,3,5,4,4,5,5,3,4,4,5,5,3,4,3,5,5,3,4,3,3,4,3,no,no,no,43,2,86,2,3,1,4,3,3,3,4,3,4,4,4,3,4,3,1,3,5,5,3,4,4,57c2da43ffd38700010b46ab,5,53,164,254,72,103,34,552,,2024-11-27 14:32:51,finished,1,0,7,7,0,0,1.30
84,112,,,base,interview,2024-11-27 14:32:14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,This method of being able to see my diagnosis in the most simplistic form is extremely interesting and necessary. I love the fact that the most simple language is used and not complicated medical terms.,"My suggestion would be to continue using this tool. As someone who is not medically educated, I found myself understanding this exercise very well.",I would like to see different colour codes for the symptoms and diagnosis.,43,1,87,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,1,5,3,60471ddd0b6ed718cb843760,97,333,122,458,196,183,723,1073,,2024-11-27 15:07:26,finished,1,0,7,7,0,0,0.33
87,115,,,base,interview,2024-11-27 14:36:50,4,4,4,4,5,3,3,3,2,5,3,3,2,2,5,4,4,5,5,4,2,2,3,5,2,2,2,3,5,3,5,3,4,3,1,,,Thank you,45,2,90,1,3,2,4,4,4,4,3,2,3,3,3,2,2,3,2,2,5,5,1,2,2,62a3b97d41ae082b602e815b,32,38,75,343,189,164,47,888,,2024-11-27 14:51:39,finished,1,0,7,7,0,0,0.73
88,116,,,base,interview,2024-11-27 14:39:04,2,5,5,4,5,3,5,2,3,5,4,4,2,3,5,5,4,4,5,3,4,4,5,5,2,5,3,5,5,4,5,4,4,3,5,"No, at first I was puzzled as to what I had to do. I later figured it out. ",Everything is perfect. ,No.,45,1,91,3,2,1,4,3,5,4,4,5,4,3,5,4,4,4,1,1,5,4,4,4,4,6648a6bccc1f9d3dc0bb6cbf,14,48,19,208,137,131,109,666,,2024-11-27 14:50:09,finished,1,0,7,7,0,0,0.97
89,117,,,base,interview,2024-11-27 14:39:18,4,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,4,5,4,N/a,I think the layout of the diagnoses was good enough and does not need any change.,"Even with my limited medical knowledge,  I was able to understand easily how certain conditions could lead to symptoms linked to the diseases with the data and explanations given.",46,2,92,3,2,1,4,5,5,5,4,5,5,5,4,5,5,5,2,2,5,5,1,3,2,5b2150d538b0be00014137fb,594,60,212,423,544,142,725,870,,2024-11-27 15:24:20,finished,1,0,7,7,0,0,0.33
90,118,,,base,interview,2024-11-27 17:30:18,4,3,3,3,5,4,4,4,4,5,4,4,4,4,5,4,3,3,5,3,4,2,4,5,4,4,3,4,5,3,5,4,5,4,3,Instructions were straightforward and easy to understand.,Maybe use different colours for each possible diagnoses. ,I enjoyed this study !,46,1,93,3,2,1,3,4,4,3,3,3,3,4,4,4,4,4,1,2,5,5,1,2,2,66c60f55277b42d678ad6b78,16,51,31,330,192,104,162,886,,2024-11-27 17:45:04,finished,1,0,7,7,0,0,0.75
91,119,,,base,interview,2024-11-27 17:36:04,3,4,3,3,5,3,4,3,3,5,3,4,3,3,5,4,4,4,5,4,4,4,4,5,3,4,4,4,5,3,5,3,4,4,2,No,No,No,47,2,94,2,1,3,3,4,4,3,2,4,4,3,3,4,3,3,1,1,5,5,2,4,4,669005c37a08fe59b7970ead,3,42,33,282,94,44,102,600,,2024-11-27 17:46:03,finished,1,0,7,7,0,0,1.41
